所属模块,用例标题,步骤,预期,关键词,用例类型,优先级,用例状态,适用阶段,前置条件,,类型可选值列表,阶段可选值列表,状态可选值列表
/(#导航栏),查看导航栏,查看tpshop商城首页导航栏数据,导航栏显示8条数据,8条数据,功能测试,2,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,"
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段","
正常
被阻塞
研究中"
/(#导航栏),点击手机城,在tpshop商城首页导航栏点击手机城按钮,成功跳转至手机城页面,跳转至手机城页面,功能测试,3,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#导航栏),点击珠宝,在tpshop商城首页导航栏点击珠宝按钮,成功跳转至珠宝页面,跳转至珠宝页面,功能测试,2,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#导航栏),点击家电城,在tpshop商城首页导航栏点击家电城按钮,成功跳转至家电城页面,跳转至家电城页面,功能测试,2,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#导航栏),点击促销商品,在tpshop商城首页导航栏点击促销商品按钮,成功跳转至促销商品页面,跳转至促销商品页面,功能测试,2,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#导航栏),点击预售,在tpshop商城首页导航栏点击预售按钮,成功跳转至预售页面,跳转至预售页面,功能测试,2,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#导航栏),点击数码城,在tpshop商城首页导航栏点击数码城按钮,成功跳转至数码城页面,跳转至数码城页面,功能测试,2,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#导航栏),点击团购,在tpshop商城首页导航栏点击团购按钮,成功跳转至团购页面,跳转至团购页面,功能测试,2,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#导航栏),点击积分商城,在tpshop商城首页导航栏点击积分商城按钮,成功跳转至积分商城页面,跳转至积分商城页面,功能测试,2,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#导航栏),查看导航栏,查看tpshop商城首页导航栏数据,导航栏显示8条数据,8条数据,功能测试,2,正常,功能测试阶段,在火狐浏览器成功打开tpshop商城,,,,
/(#导航栏),点击手机城,在tpshop商城首页导航栏点击手机城按钮,成功跳转至手机城页面,跳转至手机城页面,功能测试,3,正常,功能测试阶段,在火狐浏览器成功打开tpshop商城,,,,
/(#导航栏),点击珠宝,在tpshop商城首页导航栏点击珠宝按钮,成功跳转至珠宝页面,跳转至珠宝页面,功能测试,2,正常,功能测试阶段,在火狐浏览器成功打开tpshop商城,,,,
/(#导航栏),点击家电城,在tpshop商城首页导航栏点击家电城按钮,成功跳转至家电城页面,跳转至家电城页面,功能测试,2,正常,功能测试阶段,在火狐浏览器成功打开tpshop商城,,,,
/(#导航栏),点击促销商品,在tpshop商城首页导航栏点击促销商品按钮,成功跳转至促销商品页面,跳转至促销商品页面,功能测试,2,正常,功能测试阶段,在火狐浏览器成功打开tpshop商城,,,,
/(#导航栏),点击预售,在tpshop商城首页导航栏点击预售按钮,成功跳转至预售页面,跳转至预售页面,功能测试,2,正常,功能测试阶段,在火狐浏览器成功打开tpshop商城,,,,
/(#导航栏),点击数码城,在tpshop商城首页导航栏点击数码城按钮,成功跳转至数码城页面,跳转至数码城页面,功能测试,2,正常,功能测试阶段,在火狐浏览器成功打开tpshop商城,,,,
/(#导航栏),点击团购,在tpshop商城首页导航栏点击团购按钮,成功跳转至团购页面,跳转至团购页面,功能测试,2,正常,功能测试阶段,在火狐浏览器成功打开tpshop商城,,,,
/(#导航栏),点击积分商城,在tpshop商城首页导航栏点击积分商城按钮,成功跳转至积分商城页面,跳转至积分商城页面,功能测试,2,正常,功能测试阶段,在火狐浏览器成功打开tpshop商城,,,,
/(#导航栏),查看导航栏,查看tpshop商城首页导航栏数据,导航栏显示8条数据,8条数据,功能测试,2,正常,功能测试阶段,在谷歌浏览器成功打开tpshop商城,,,,
/(#导航栏),点击手机城,在tpshop商城首页导航栏点击手机城按钮,成功跳转至手机城页面,跳转至手机城页面,功能测试,3,正常,功能测试阶段,在谷歌浏览器成功打开tpshop商城,,,,
/(#导航栏),点击珠宝,在tpshop商城首页导航栏点击珠宝按钮,成功跳转至珠宝页面,跳转至珠宝页面,功能测试,2,正常,功能测试阶段,在谷歌浏览器成功打开tpshop商城,,,,
/(#导航栏),点击家电城,在tpshop商城首页导航栏点击家电城按钮,成功跳转至家电城页面,跳转至家电城页面,功能测试,2,正常,功能测试阶段,在谷歌浏览器成功打开tpshop商城,,,,
/(#导航栏),点击促销商品,在tpshop商城首页导航栏点击促销商品按钮,成功跳转至促销商品页面,跳转至促销商品页面,功能测试,2,正常,功能测试阶段,在谷歌浏览器成功打开tpshop商城,,,,
/(#导航栏),点击预售,在tpshop商城首页导航栏点击预售按钮,成功跳转至预售页面,跳转至预售页面,功能测试,2,正常,功能测试阶段,在谷歌浏览器成功打开tpshop商城,,,,
/(#导航栏),点击数码城,在tpshop商城首页导航栏点击数码城按钮,成功跳转至数码城页面,跳转至数码城页面,功能测试,2,正常,功能测试阶段,在谷歌浏览器成功打开tpshop商城,,,,
/(#导航栏),点击团购,在tpshop商城首页导航栏点击团购按钮,成功跳转至团购页面,跳转至团购页面,功能测试,2,正常,功能测试阶段,在谷歌浏览器成功打开tpshop商城,,,,
/(#导航栏),点击积分商城,在tpshop商城首页导航栏点击积分商城按钮,成功跳转至积分商城页面,跳转至积分商城页面,功能测试,2,正常,功能测试阶段,在谷歌浏览器成功打开tpshop商城,,,,
