所属模块,用例标题,步骤,预期,关键词,用例类型,优先级,用例状态,适用阶段,前置条件,,类型可选值列表,阶段可选值列表,状态可选值列表
/(注册),点击注册按钮,在tpshop商城首页顶部点击注册按钮,成功跳转至注册界面，默认为手机号注册。,跳转至用户注册,功能测试,2,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,"
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段","
正常
被阻塞
研究中"
/(注册),点击邮箱注册按钮,在tpshop商城用户注册页面点击邮箱注册按钮,成功切换至邮箱注册页面,切换至邮箱注册,功能测试,2,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(注册),点击刷新按钮,在tpshop商城注册页面点击验证图像,成功刷新验证码,刷新验证码,功能测试,2,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(注册),手机号注册成功（推荐人为：之前注册的用户,输入有效手机号：17530536229输入有效验证码：8888输入有效密码：Aa_123S有效确认密码：Aa_123S有效推荐人：18836306316勾选我已阅读并同意后点击同意协议并注册按钮,弹窗提示：注册成功,用户注册成功,功能测试,2,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(注册),手机号注册成功（密码为16位纯字母）,输入有效手机号：17530536229输入有效验证码：8888输入有效密码：AaAsbasdcbnmjhyt有效确认密码：AaAsbasdcbnmjhyt有效推荐人：空白，勾选我已阅读并同意后点击同意协议并注册按钮,弹窗提示：注册成功,用户注册成功,功能测试,2,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(注册),手机号注册成功（密码为12位纯数字）,输入有效手机号：17530536229输入有效验证码：8888输入有效密码：123456789123有效确认密码：123456789123有效推荐人：空白，勾选我已阅读并同意后点击同意协议并注册按钮,弹窗提示：注册成功,用户注册成功,功能测试,2,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(注册),手机号注册成功（密码为12位纯符号）,输入有效手机号：17530536229输入有效验证码：8888输入有效密码：############有效确认密码：############有效推荐人：空白，勾选我已阅读并同意后点击同意协议并注册按钮,弹窗提示：注册成功,用户注册成功,功能测试,2,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(注册),手机号注册失败（手机号无效，第一位为1，第二位大于2，10位自然数）,输入手机号：1753053622输入有效验证码：8888输入有效密码：Aa_123S有效确认密码：Aa_123S有效推荐人：18836306316勾选我已阅读并同意后点击同意协议并注册按钮,注册失败，弹窗提示（手机号无效）,用户注册失败,功能测试,3,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(注册),手机号注册失败（手机号无效，第一位为1，第二位大于2，12位自然数）,输入手机号：175305362292输入有效验证码：8888输入有效密码：Aa_123S有效确认密码：Aa_123S有效推荐人：18836306316勾选我已阅读并同意后点击同意协议并注册按钮,注册失败，弹窗提示（手机号无效）,用户注册失败,功能测试,3,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(注册),手机号注册失败（手机号无效，第一位为1，第二位小于3，11为自然数）,输入手机号：11530536229输入有效验证码：8888输入有效密码：Aa_123S有效确认密码：Aa_123S有效推荐人：18836306316勾选我已阅读并同意后点击同意协议并注册按钮,注册失败，弹窗提示（手机号无效）,用户注册失败,功能测试,3,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(注册),手机号注册失败（手机号无效，第一位非1，第二位大于2，11为自然数）,输入手机号：27530536229输入有效验证码：8888输入有效密码：Aa_123S有效确认密码：Aa_123S有效推荐人：18836306316勾选我已阅读并同意后点击同意协议并注册按钮,注册失败，弹窗提示（手机号无效）,用户注册失败,功能测试,3,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
,手机号注册失败（手机号无效，第一位为1，第二位大于2，11位非自然数）,输入手机号：***********输入有效验证码：8888输入有效密码：Aa_123S有效确认密码：Aa_123S有效推荐人：18836306316勾选我已阅读并同意后点击同意协议并注册按钮,注册失败，弹窗提示（请用手机号或邮箱注册）,用户注册失败,功能测试,3,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(注册),手机号注册失败（手机号无效，第一位为1，第二位大于2，11位自然数，重复注册）,输入手机号：17530536229输入有效验证码：8888输入有效密码：Aa_123S有效确认密码：Aa_123S有效推荐人：18836306316勾选我已阅读并同意后点击同意协议并注册按钮,注册失败，弹窗提示（账号已存在）,用户注册失败,功能测试,3,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(注册),手机号注册失败（手机号为空）,手机号为空输入有效验证码：8888输入有效密码：Aa_123S有效确认密码：Aa_123S有效推荐人：18836306316勾选我已阅读并同意后点击同意协议并注册按钮,注册失败，弹窗提示（手机号为空）,用户注册失败,功能测试,3,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
,手机号注册失败（验证码与设置密码不一致）,输入有效手机号：17530536229输入有效验证码：1111输入有效密码：Aa_123S有效确认密码：Aa_123S有效推荐人：18836306316勾选我已阅读并同意后点击同意协议并注册按钮,注册失败，弹窗提示（图像验证码错误）,用户注册失败,功能测试,3,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
,手机号注册失败（验证码为空）,输入有效手机号：17530536229验证码为空输入有效密码：Aa_123S有效确认密码：Aa_123S有效推荐人：18836306316勾选我已阅读并同意后点击同意协议并注册按钮,注册失败，弹窗提示（图像验证码不能空）,用户注册失败,功能测试,3,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
,手机号注册失败（密码无效，6位非大小写英文字母，数字或符号的组合）,输入有效手机号：17530536229输入有效验证码：8888密码：好好好好好好确认密码：好好好好好好有效推荐人：18836306316勾选我已阅读并同意后点击同意协议并注册按钮,注册失败，弹窗提示（密码格式不正确）,用户注册失败,功能测试,3,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
,手机号注册失败（密码无效，17位纯数字）,输入有效手机号：17530536229输入有效验证码：8888密码：11111111111111111确认密码：11111111111111111有效推荐人：18836306316勾选我已阅读并同意后点击同意协议并注册按钮,注册失败，弹窗提示（密码格式不正确）,用户注册失败,功能测试,3,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
,手机号注册失败（密码无效，5位纯字母）,输入有效手机号：17530536229输入有效验证码：8888密码：aaaaa确认密码：aaaaa有效推荐人：18836306316勾选我已阅读并同意后点击同意协议并注册按钮,注册失败，弹窗提示（密码格式不正确）,用户注册失败,功能测试,3,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
